#{"t_start": 1755100686.0050862, "env_id": "None"}
r,l,t
970.630783,100,380.200305
1.666335,100,380.582025
671.819115,100,380.953606
2.949889,100,381.344667
1.419801,100,381.726874
661.246957,100,382.111364
2.199806,100,382.484798
4.665934,100,382.864719
711.586029,100,383.252966
641.794279,100,383.605258
3.017135,100,383.983642
900.859891,100,384.349966
3.211237,100,384.734079
650.748874,100,385.107437
900.609949,100,385.499937
970.536563,100,385.880689
93.296551,100,386.285232
731.116948,100,387.45242
671.637093,100,387.811129
381.950185,100,388.173126
841.617029,100,388.539739
2.380699,100,388.939064
930.383803,100,389.315988
551.398881,100,389.70855
911.300508,100,390.084482
781.907046,100,390.45256
921.251122,100,390.829525
5.405278,100,391.223377
105.506801,100,391.618148
890.32638,100,391.977865
702.007474,100,392.346125
445.534253,100,392.729027
1.266551,100,393.102617
860.553284,100,393.475607
591.523014,100,393.845221
980.337659,100,394.197461
960.939129,100,394.544779
6.127722,100,395.769185
711.363527,100,396.130885
712.14669,100,396.497106
71.306658,100,396.854228
771.375172,100,397.230849
642.312413,100,397.589491
951.279966,100,397.945999
11.852637,100,398.30035
373.935854,100,398.678647
532.476655,100,399.039672
113.933297,100,399.427655
354.116844,100,399.822938
780.704129,100,400.198077
5.258503,100,400.562137
63.835213,100,400.94864
891.013718,100,401.309569
333.618243,100,401.690957
1.585555,100,402.059834
352.784367,100,402.457341
1.783167,100,402.828635
920.319201,100,406.523979
930.603093,100,407.772121
622.310766,100,408.128038
2.959941,100,408.479964
602.600708,100,408.841464
7.772697,100,409.214112
223.785464,100,409.582745
930.287231,100,409.927007
471.457622,100,410.280784
5.874451,100,410.655653
930.651858,100,411.011272
29.866579,100,411.412762
761.822278,100,411.791368
153.921677,100,412.185601
761.081927,100,412.560154
761.861587,100,412.936511
681.691879,100,413.297835
751.983065,100,413.654199
861.345264,100,414.028425
5.579551,100,414.398369
125.226894,100,414.778191
491.464256,100,416.032191
1.147167,100,416.407125
652.225863,100,416.817071
2.82799,100,417.19251
3.270678,100,417.571806
2.698143,100,417.969431
2.995689,100,418.345015
3.859781,100,418.746595
3.316065,100,419.147923
3.389642,100,419.55065
1.931395,100,419.932937
941.297031,100,420.318249
8.481077,100,420.705544
541.81418,100,421.087114
851.420835,100,421.514161
940.242333,100,421.875255
2.080561,100,422.235471
881.224813,100,422.60282
701.279585,100,422.995305
396.558607,100,423.390311
4.502587,100,423.779358
830.551602,100,425.102349
662.197769,100,425.473795
532.777142,100,425.863969
771.773952,100,426.231435
31.686904,100,426.606658
821.022622,100,426.977863
881.238533,100,427.351525
192.64504,100,427.747613
523.056966,100,428.124333
891.181066,100,428.500091
881.413689,100,428.854548
